nom projet,work_Id,SPV,permalink,Type (AU),Responsable,date_PMBAIL,date_BAIL,date_Accord,date_fin_Chantier,date_debut_Chantier,date accord (PCM1),date accord (PCM2),date accord (PCM3),date accord (Transf DP),date accord (Transf PC),Validite,Reception DAACT,Type Tarif,Date T0,Date depot AO,Date Demande Racco,Date Reception PTF,Date reception CR(D),Date paiement acompte PTF,Date paiement acompte CR(D),Date reception (CARDI),Date MES,Date signature CA,Date GO CONSTRUCTION,Date Consuel,NB_PMBAIL,conf_PMBAIL,perM_PMBAIL,url_PMBAIL,Nom_PMBAIL,createdDate_PMBAIL,NB_EHF,conf_EHF,perM_EHF,url_EHF,Nom_EHF,createdDate_EHF,NB_SBN,conf_SBN,perM_SBN,url_SBN,Nom_SBN,createdDate_SBN,NB_PRODPC,conf_PRODPC,perM_PRODPC,url_PRODPC,Nom_PRODPC,createdDate_PRODPC,NB_ARRETEPC,conf_ARRETEPC,perM_ARRETEPC,url_ARRETEPC,Nom_ARRETEPC,createdDate_ARRETEPC,NB_PRODDP,conf_PRODDP,perM_PRODDP,url_PRODDP,Nom_PRODDP,createdDate_PRODDP,NB_ARRETEDP,conf_ARRETEDP,perM_ARRETEDP,url_ARRETEDP,Nom_ARRETEDP,createdDate_ARRETEDP,NB_CONSTATPC,conf_CONSTATPC,perM_CONSTATPC,url_CONSTATPC,Nom_CONSTATPC,createdDate_CONSTATPC,NB_CNRPC,conf_CNRPC,perM_CNRPC,url_CNRPC,Nom_CNRPC,createdDate_CNRPC,NB_CONSTATDP,conf_CONSTATDP,perM_CONSTATDP,url_CONSTATDP,Nom_CONSTATDP,createdDate_CONSTATDP,NB_CNRDP,conf_CNRDP,perM_CNRDP,url_CNRDP,Nom_CNRDP,createdDate_CNRDP,NB_PROROG1PC,conf_PROROG1PC,perM_PROROG1PC,url_PROROG1PC,Nom_PROROG1PC,createdDate_PROROG1PC,NB_PROROGCONSTAT1PC,conf_PROROGCONSTAT1PC,perM_PROROGCONSTAT1PC,url_PROROGCONSTAT1PC,Nom_PROROGCONSTAT1PC,createdDate_PROROGCONSTAT1PC,NB_PROROGCNR1PC,conf_PROROGCNR1PC,perM_PROROGCNR1PC,url_PROROGCNR1PC,Nom_PROROGCNR1PC,createdDate_PROROGCNR1PC,NB_PROROG2PC,conf_PROROG2PC,perM_PROROG2PC,url_PROROG2PC,Nom_PROROG2PC,createdDate_PROROG2PC,NB_PROROGCONSTAT2PC,conf_PROROGCONSTAT2PC,perM_PROROGCONSTAT2PC,url_PROROGCONSTAT2PC,Nom_PROROGCONSTAT2PC,createdDate_PROROGCONSTAT2PC,NB_PROROGCNR2PC,conf_PROROGCNR2PC,perM_PROROGCNR2PC,url_PROROGCNR2PC,Nom_PROROGCNR2PC,createdDate_PROROGCNR2PC,NB_PROROG1DP,conf_PROROG1DP,perM_PROROG1DP,url_PROROG1DP,Nom_PROROG1DP,createdDate_PROROG1DP,NB_PROROGCONSTAT1DP,conf_PROROGCONSTAT1DP,perM_PROROGCONSTAT1DP,url_PROROGCONSTAT1DP,Nom_PROROGCONSTAT1DP,createdDate_PROROGCONSTAT1DP,NB_PROROGCNR1DP,conf_PROROGCNR1DP,perM_PROROGCNR1DP,url_PROROGCNR1DP,Nom_PROROGCNR1DP,createdDate_PROROGCNR1DP,NB_PROROG2DP,conf_PROROG2DP,perM_PROROG2DP,url_PROROG2DP,Nom_PROROG2DP,createdDate_PROROG2DP,NB_PROROGCONSTAT2DP,conf_PROROGCONSTAT2DP,perM_PROROGCONSTAT2DP,url_PROROGCONSTAT2DP,Nom_PROROGCONSTAT2DP,createdDate_PROROGCONSTAT2DP,NB_PROROGCNR2DP,conf_PROROGCNR2DP,perM_PROROGCNR2DP,url_PROROGCNR2DP,Nom_PROROGCNR2DP,createdDate_PROROGCNR2DP,NB_DOC,conf_DOC,perM_DOC,url_DOC,Nom_DOC,createdDate_DOC,NB_DAACT,conf_DAACT,perM_DAACT,url_DAACT,Nom_DAACT,createdDate_DAACT,NB_PCM,conf_PCM,perM_PCM,url_PCM,Nom_PCM,createdDate_PCM,NB_PCMARRETE,conf_PCMARRETE,perM_PCMARRETE,url_PCMARRETE,Nom_PCMARRETE,createdDate_PCMARRETE,NB_PCMCONSTAT,conf_PCMCONSTAT,perM_PCMCONSTAT,url_PCMCONSTAT,Nom_PCMCONSTAT,createdDate_PCMCONSTAT,NB_PCMCNR,conf_PCMCNR,perM_PCMCNR,url_PCMCNR,Nom_PCMCNR,createdDate_PCMCNR,NB_PCM2,conf_PCM2,perM_PCM2,url_PCM2,Nom_PCM2,createdDate_PCM2,NB_PCMARRETE2,conf_PCMARRETE2,perM_PCMARRETE2,url_PCMARRETE2,Nom_PCMARRETE2,createdDate_PCMARRETE2,NB_PCMCONSTAT2,conf_PCMCONSTAT2,perM_PCMCONSTAT2,url_PCMCONSTAT2,Nom_PCMCONSTAT2,createdDate_PCMCONSTAT2,NB_PCMCNR2,conf_PCMCNR2,perM_PCMCNR2,url_PCMCNR2,Nom_PCMCNR2,createdDate_PCMCNR2,NB_PCM3,conf_PCM3,perM_PCM3,url_PCM3,Nom_PCM3,createdDate_PCM3,NB_PCMARRETE3,conf_PCMARRETE3,perM_PCMARRETE3,url_PCMARRETE3,Nom_PCMARRETE3,createdDate_PCMARRETE3,NB_PCMCONSTAT3,conf_PCMCONSTAT3,perM_PCMCONSTAT3,url_PCMCONSTAT3,Nom_PCMCONSTAT3,createdDate_PCMCONSTAT3,NB_PCMCNR3,conf_PCMCNR3,perM_PCMCNR3,url_PCMCNR3,Nom_PCMCNR3,createdDate_PCMCNR3,NB_TRANSFERT,conf_TRANSFERT,perM_TRANSFERT,url_TRANSFERT,Nom_TRANSFERT,createdDate_TRANSFERT,NB_TRANSFERTCONSTAT,conf_TRANSFERTCONSTAT,perM_TRANSFERTCONSTAT,url_TRANSFERTCONSTAT,Nom_TRANSFERTCONSTAT,createdDate_TRANSFERTCONSTAT,NB_TRANSFERTCNR,conf_TRANSFERTCNR,perM_TRANSFERTCNR,url_TRANSFERTCNR,Nom_TRANSFERTCNR,createdDate_TRANSFERTCNR,NB_LAUREAT,conf_LAUREAT,perM_LAUREAT,url_LAUREAT,Nom_LAUREAT,createdDate_LAUREAT,NB_DOSSIERAO,conf_DOSSIERAO,perM_DOSSIERAO,url_DOSSIERAO,Nom_DOSSIERAO,createdDate_DOSSIERAO,NB_DDROA,conf_DDROA,perM_DDROA,url_DDROA,Nom_DDROA,createdDate_DDROA,NB_DDRCRE,conf_DDRCRE,perM_DDRCRE,url_DDRCRE,Nom_DDRCRE,createdDate_DDRCRE,NB_PTF,conf_PTF,perM_PTF,url_PTF,Nom_PTF,createdDate_PTF,NB_CRD,conf_CRD,perM_CRD,url_CRD,Nom_CRD,createdDate_CRD,NB_ACOMPTEPTF,conf_ACOMPTEPTF,perM_ACOMPTEPTF,url_ACOMPTEPTF,Nom_ACOMPTEPTF,createdDate_ACOMPTEPTF,NB_ACOMPTECRD,conf_ACOMPTECRD,perM_ACOMPTECRD,url_ACOMPTECRD,Nom_ACOMPTECRD,createdDate_ACOMPTECRD,NB_CARDI,conf_CARDI,perM_CARDI,url_CARDI,Nom_CARDI,createdDate_CARDI,NB_CEX,conf_CEX,perM_CEX,url_CEX,Nom_CEX,createdDate_CEX,NB_MES,conf_MES,perM_MES,url_MES,Nom_MES,createdDate_MES,NB_CONTRATHA,conf_CONTRATHA,perM_CONTRATHA,url_CONTRATHA,Nom_CONTRATHA,createdDate_CONTRATHA,NB_CONSUELV1,conf_CONSUELV1,perM_CONSUELV1,url_CONSUELV1,Nom_CONSUELV1,createdDate_CONSUELV1,NB_DOEV1,conf_DOEV1,perM_DOEV1,url_DOEV1,Nom_DOEV1,createdDate_DOEV1,NB_PVRV1,conf_PVRV1,perM_PVRV1,url_PVRV1,Nom_PVRV1,createdDate_PVRV1,NB_CONSUELV2,conf_CONSUELV2,perM_CONSUELV2,url_CONSUELV2,Nom_CONSUELV2,createdDate_CONSUELV2,NB_DOEV2,conf_DOEV2,perM_DOEV2,url_DOEV2,Nom_DOEV2,createdDate_DOEV2,NB_PVRV2,conf_PVRV2,perM_PVRV2,url_PVRV2,Nom_PVRV2,createdDate_PVRV2,Mis à jour
Gaches-1,IEACTCKNI4PCUVVY,ENOE PV07,https://www.wrike.com/open.htm?id=506091192,PC,Anonyme,2020-04-16,2022-05-19,2020-11-27,,2022-09-19,,,,,,2023-11-28,,AO CRE,2021-12-14,2021-07-08 00:00:00.000,2022-01-18,,2022-04-08,,2022-06-08,,,,2022-05-09,,1,1,https://www.wrike.com/open.htm?id=506091374,,,,1,1,https://www.wrike.com/open.htm?id=506091261,,,,1,1,https://www.wrike.com/open.htm?id=506091376,,,,1,1,https://www.wrike.com/open.htm?id=506091233,,,,1,1,https://www.wrike.com/open.htm?id=506091237,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=506091248,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506091240,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506091350,,,,1,1,https://www.wrike.com/open.htm?id=1020292761,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506091409,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506091303,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506091315,,,,1,1,https://www.wrike.com/open.htm?id=506091299,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,2023-03-03 10:50:16
Gaches-2,IEACTCKNI4PCWQXH,ENOE PV03,https://www.wrike.com/open.htm?id=506151655,DP,CONGARD Kévin,2020-04-16,2021-12-29,2020-12-09,2022-10-13,2022-04-11,,,,,,2023-12-10,2023-02-15,Obligation d'achat S17,2021-03-25,,2021-03-25,,2021-06-10,,2021-07-25,2021-12-16,2022-12-16,,2021-12-29,2022-10-14,1,1,https://www.wrike.com/open.htm?id=506151838,,,,1,1,https://www.wrike.com/open.htm?id=506151721,,,,1,1,https://www.wrike.com/open.htm?id=506151833,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=578449180,,,,1,1,https://www.wrike.com/open.htm?id=578449193,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=578449198,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506151865,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506151816,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506151824,,,,1,1,https://www.wrike.com/open.htm?id=506151826,,,,1,1,https://www.wrike.com/open.htm?id=506151827,,,,1,1,https://www.wrike.com/open.htm?id=589199143,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=826821568,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,2023-03-03 10:50:16
Bayle-P,IEACTCKNI4PDFH25,ENOE PV07,https://www.wrike.com/open.htm?id=506634077,PC,Anonyme,2020-01-30,2022-08-31,2020-10-01,,,,,,,,2023-10-02,,AO CRE,2021-12-14,2021-07-08,2022-01-17,,2022-03-03,,2022-05-03,2022-07-04,,,,,1,1,https://www.wrike.com/open.htm?id=506634237,,,,1,1,https://www.wrike.com/open.htm?id=506634141,,,,1,1,https://www.wrike.com/open.htm?id=506634239,,,,1,1,https://www.wrike.com/open.htm?id=506634118,,,,1,1,https://www.wrike.com/open.htm?id=506634121,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=506634127,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506634123,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506634220,,,,1,1,https://www.wrike.com/open.htm?id=1020292453,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506634260,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506634182,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506634188,,,,1,1,https://www.wrike.com/open.htm?id=506634178,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,2023-03-03 10:50:16
Pascal-1,IEACTCKNI4PDLT72,ENOE PV03,https://www.wrike.com/open.htm?id=506843130,PC,GAUBERTI Anansa,2020-05-05,2021-06-29,2020-02-24,2022-05-20,2021-10-25,,,,,2021-06-01,2023-02-24,,Obligation d'achat S17,2020-09-21,,2020-09-21,,2020-11-25,,2021-02-21,2022-03-04,2022-08-02,,2021-06-29,2022-04-06,1,1,https://www.wrike.com/open.htm?id=506843449,,,,1,1,https://www.wrike.com/open.htm?id=506843284,,,,1,1,https://www.wrike.com/open.htm?id=506843452,,,,1,1,https://www.wrike.com/open.htm?id=506843229,,,,1,1,https://www.wrike.com/open.htm?id=506843234,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=506843257,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506843241,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=749772658,,,,2,1,https://www.wrike.com/open.htm?id=749772665,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506843475,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506843361,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506843365,,,,1,1,https://www.wrike.com/open.htm?id=506843356,,,,1,1,https://www.wrike.com/open.htm?id=506843357,,,,1,1,https://www.wrike.com/open.htm?id=589200660,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=826894911,,,,2,1,https://www.wrike.com/open.htm?id=826894920,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,2023-03-03 10:50:16
Pascal-2,IEACTCKNI4PDLVSP,ENOE PV03,https://www.wrike.com/open.htm?id=506844751,DP,GAUBERTI Anansa,2020-05-05,2022-03-15,2020-09-11,,2022-02-21,,,,,,2023-09-12,,Obligation d'achat S17,2020-12-23,,2020-12-23,,2021-06-15,,2021-07-25,,,,,2022-06-23,1,1,https://www.wrike.com/open.htm?id=506844963,,,,1,1,https://www.wrike.com/open.htm?id=506844825,,,,1,1,https://www.wrike.com/open.htm?id=506844957,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506844770,,,,1,1,https://www.wrike.com/open.htm?id=506844779,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=506844802,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506845022,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506844930,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=506844938,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=826895719,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,2023-03-03 10:50:16
Boisseranc-1,IEACTCKNI4PD3V46,ENOE PV14,https://www.wrike.com/open.htm?id=507369374,PC,GAUBERTI Anansa,2021-03-12,,2022-06-03,,,,,,,,2025-06-03,,Obligation d'achat S21,,,2023-01-31,,,,,,,,,,1,1,https://www.wrike.com/open.htm?id=664462277,,,,1,1,https://www.wrike.com/open.htm?id=857597955,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=664462226,,,,1,1,https://www.wrike.com/open.htm?id=664462219,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=664462410,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,2023-03-03 10:50:16
Carrau-1,IEACTCKNI4PELURJ,ENOE PV13,https://www.wrike.com/open.htm?id=507892265,PC,CONGARD Kévin,2020-09-25,,2021-09-14,,,,,,,,2024-09-14,,Obligation d'achat S21,,,,,,,,,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=632262662,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=632262740,,,,1,1,https://www.wrike.com/open.htm?id=632262734,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=632262839,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,2023-03-03 10:50:16
Capdevielle-2,IEACTCKNI4PEP6HF,ENOE PV11,https://www.wrike.com/open.htm?id=508033253,DP,CONGARD Kévin,2020-06-26,2022-05-25,2020-10-02,,,,,,,,2023-10-03,,Obligation d'achat S21,2022-01-28,,2022-01-28,,2022-04-28,,2022-07-01,,,,,,1,1,https://www.wrike.com/open.htm?id=542434683,,,,1,1,https://www.wrike.com/open.htm?id=542434574,,,,1,1,https://www.wrike.com/open.htm?id=542434679,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=542434609,,,,1,1,https://www.wrike.com/open.htm?id=542434613,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=542434698,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=542434721,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=542434662,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=542434658,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,2023-03-03 10:50:16
Sci-a2j,IEACTCKNI4PEZTHP,ENOE PV07,https://www.wrike.com/open.htm?id=508349679,PC,GAUBERTI Anansa,2020-02-14,2022-09-21,2021-02-10,,,,,,,,2024-02-11,,Obligation d'achat S17,2021-03-31,,2021-03-19,,2021-06-28,,2021-07-28,2022-03-24,,,,,1,1,https://www.wrike.com/open.htm?id=508349849,,,,1,1,https://www.wrike.com/open.htm?id=508349761,,,,1,1,https://www.wrike.com/open.htm?id=508349850,,,,1,1,https://www.wrike.com/open.htm?id=508349731,,,,1,1,https://www.wrike.com/open.htm?id=508349735,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=508349747,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=508349741,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=508349856,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=508349807,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=508349810,,,,1,1,https://www.wrike.com/open.htm?id=508349804,,,,1,1,https://www.wrike.com/open.htm?id=508349805,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=826931980,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,2023-03-03 10:50:16
Sendra-F,IEACTCKNI4PISSGX,ENOE PV14,https://www.wrike.com/open.htm?id=512313559,PC,Anonyme,2020-06-09,,2021-09-23,,,,,,,,2024-09-23,,Obligation d'achat S21,,,,,,,,,,,,,0,0,,,,,1,0,https://www.wrike.com/open.htm?id=541286824,,,,0,0,,,,,2,2,https://www.wrike.com/open.htm?id=541286807,,,,1,1,https://www.wrike.com/open.htm?id=541286805,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=541286890,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,2023-03-03 10:50:16
Barneaud,IEACTCKNI4PITJI7,ENOE PV13,https://www.wrike.com/open.htm?id=512337183,PC,GAUBERTI Anansa,2020-06-19,,2022-03-03,,,,,,,,2025-03-03,,Obligation d'achat S21,2022-05-10,,2022-04-25,,2022-09-06,,2022-09-20,2022-10-05,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=530286571,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=530286556,,,,1,1,https://www.wrike.com/open.htm?id=530286554,,,,0,0,,,,,0,0,,,,,2,1,https://www.wrike.com/open.htm?id=530286629,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=771730282,,,,0,0,,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=875262839,,,,0,0,,,,,1,1,https://www.wrike.com/open.htm?id=875262845,,,,1,1,https://www.wrike.com/open.htm?id=875262899,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,2023-03-03 10:50:16
